Model,Rok,Kilometry,Objem motoru,Výkon,Cena
"Alfa Romeo Giulia 2,0 Turbo 280k Q4 AT8 TRI",2024,0 Km,1995 ccm,206 kW,1510330
"Alfa Romeo Giulia 2,0 Turbo 280k Q4 AT8 TRI",2024,5 Km,1995 ccm,206 kW,1510330
Alfa Romeo Stelvio Quadrifoglio,2022,37000 Km,2891 ccm,375 kW,1399000
Alfa Romeo 1900 M âMATTAâ,1954,0 Km,1900 ccm,,1375000
Alfa Romeo Montreal,1971,55654 Km,2593 ccm,,1375000
Alfa Romeo Stelvio Veloce - TOP ZÃNOVNÃ STAV,2023,12000 Km,1995 ccm,206 kW,1330000
Alfa Romeo Giulia Quadrifoglio MANUAL,2017,138000 Km,2891 ccm,375 kW,1290000
Alfa Romeo Tonale VELOCE 1.3T Plug-in Hybri,2023,14000 Km,1300 ccm,206 kW,1199900
Alfa Romeo Stelvio 2.9 V6 Twin Turbo Q4 Qua,2018,91005 Km,2891 ccm,375 kW,1175000
Alfa Romeo Stelvio 2.9T V6 8AT 510k Q4 QUADR,2020,109924 Km,2891 ccm,375 kW,1150000
Alfa Romeo Tonale TI 1.3T Plug-in Hybrid Q4,2023,3813 Km,1332 ccm,206 kW,999900
Alfa Romeo Stelvio Quadrifoglio,2019,102270 Km,2891 ccm,375 kW,998000
Alfa Romeo Stelvio,2021,44000 Km,2891 ccm,375 kW,998000
Alfa Romeo Stelvio 2.0 GME 280k Btech AWD A,2020,90521 Km,1995 ccm,206 kW,900000
"Alfa Romeo Tonale 1,3 PHEV 280k. Q4 Veloce",2023,24500 Km,1332 ccm,206 kW,894900
"Alfa Romeo GT 1,6 Junior 1,6 renovovanÃ½",1972,99999 Km,1600 ccm,93 kW,850000
Alfa Romeo Giulia Veloce Ti,2021,134000 Km,2200 ccm,154 kW,799000
Abarth  2000 SPORT TIPO SE 010,1968,0 Km,2000 ccm,,20750000
Abarth  1300 OT,1966,0 Km,1289 ccm,,10250000
Abarth  1000 SP,1966,0 Km,,,7750000
Abarth 595 Competizione,2019,46465 Km,1368 ccm,121 kW,417000
Abarth 500,2009,116232 Km,1368 ccm,,313000
Abarth 695 BIPOSTO âCAMBIO INNESTI FRONTALIâ,2016,10360 Km,1368 ccm,,1625000
Abarth 500 FOR FERRARI DEALERS,2009,8490 Km,1368 ccm,118 kW,1500000
"Abarth 695 Turismo, Beats Audio, Pan",2023,23900 Km,1368 ccm,132 kW,650000
Abarth 595 F595,2021,8692 Km,1368 ccm,121 kW,631000
Abarth 595 Scorpioneoro,2021,17420 Km,1400 ccm,139 kW,589000
Abarth 595 Turismo  500 1.4 T-Jet  Y,2021,62248 Km,1368 ccm,121 kW,562000
Abarth 595,2018,27000 Km,1368 ccm,107 kW,499000
"Abarth 500 1,4 TURBO-JET 595 107KW,",2019,62250 Km,1368 ccm,107 kW,399900
Abarth 595 595 Competizione,2014,80000 Km,,118 kW,380000
Abarth 695 XSR Yamaha 1.4 T,2018,58295 Km,1368 ccm,121 kW,367000
Abarth 595 70 Anniversary,2019,60000 Km,1368 ccm,107 kW,355000
Abarth 595,2015,73800 Km,,103 kW,349000
Abarth 595 Competizione,2014,109000 Km,1368 ccm,118 kW,279000
Abarth 500,2010,150200 Km,1396 ccm,99 kW,225000
Abarth Grande Punto,2009,132000 Km,1368 ccm,114 kW,199000
Abarth 500,2009,10009 Km,1368 ccm,,
